vast		a.巨大的,广大的,非常的  
resource	n.资源  
directly	adv.直接地  
appropriately	adv.适当  
billing		计费  
scope		n.范围，规模  
flexible	adj.灵活  
capability	n.能力，性能，功能  
correspond	v.对应，符合，相符  
respectively	adv.分别，个别  
ease 		n.缓解  v.减轻，放松，悠闲  
reference	n.参考  
accomplish	v.完成  
property	n.属性，性能  
for instance 例如  
alternatively	另外  
tricky	adj.狡猾，棘手  
in addition		此外，另外，而且, 以及  
exception	n.例外，不赞同  
encounter	v.遇到，遭遇  
certain		adj.某些，一定，肯定，确定  
scale		n.规模，比例  
maintain	v.保持，维护  
infrastructure	n.基础设施  
particularly	adv.尤其，格外  
comprehensive	adj.全面的  
exercise		v\n.行驶，练习  
valid		adj.有效，应用  
priority    n.优先， 优先权  
associated  adj.连带的，关联的  
dependency  n.依赖，属地  
forward     adv.向前  n.前锋  v.发送  adj.前面的  
inject      v.注入  
concatenate adj.连环  v.系  
---
recipient
suppressing 
mood
merely
interlude
fragile
rancor
conclusive
pledged
invention
mute
professor
engagement
pretigious
publishing
vivacity
exaggerated
literary
career
capable
untangle
flee
spouses
embraced
murmured
sincere
node
assume
---
lightweight
distribute
via
controlled
versatile
feature
interact
monitor
evaluator
intelligence
vendor
estimate
culprit
implies -- imply
embed
relevant
adapter
batch
---
suspend         v.暂停，中止，停止  
---
allocation      n.分配  
warranty        n.保证，报管  
smash           v.粉碎，扣杀  n.扣球  
brand           n.牌，商标 v.铭记  
protocol        n.协议  
tube            n.管，筒  
resume          v.恢复 n.简历，个人简历  
institution     n.机构，制度  
nonresident     非居民  
exclusively     adv.只，仅仅  
errand          n.使命，任务  
external        adj.外部，外 n.外面，表面  
--- 
desolate        adj.荒凉，凄凉  
polar           adj.极性 n.极面  
treacherous     adj.奸诈，奸邪  
terrain         n.地形，地势 adj.地的，地球的   
uninhabited     adj.无人  
indispensable   adj.必不可少，必要，必须  
landscape       n.景观，风景  
expedition      n.远征  

============================================

rear            n.后，后部 adj.后方 v.抚养，饲养  

============================================

enforce         v.执行，强制  

============================================

stylish         adj.优雅，优美，时尚  
teaser          传情  
hint            v.提示，暗示 n.示意  
mayhem          混乱  
cameos          客串出演，n.宝石  
series          n.系列  
dull            adj.平淡，枯燥，单调  
reveal          v.揭示，透漏  
trailer         预告片，n.拖车  
iconic          标志性的  
aspect          n.方面  
ultimately      最终  
prominently     突出  
lens            n.镜头，镜片  
dialect         n.方言  

fractional      adj.部分的，断片的  

============================================

conduct 	v.进行，举办 n.行为，传导  
abruptly	adv.突然，猛然  
elaborate 	v.阐述，铺陈 adj.缜密  
digest		v.消化,克 n.文摘  
algorithm 	n.算法  
encrypt  	v.加密  
labourers	劳动者  
compulsory	adj.义务，必须  
annual 		adj.周年，全年 n.年刊  
meager 		adj.微薄，可怜  
legacy 		n.遗产  
disputes	n.争议，争端 v.纠纷，争论  
unintentionally 	无意中  
debunk		v.揭幕	 
refund		v.退，偿 n.偿还借款  
component 	adj.组成的，n.部件，元件  

cloak		n.披风，斗篷 v.遮掩，隐秘  

============================================

rumors 		谣言，传闻，传言  
nostalgic	怀旧的，想家的  
chronology 	年表  
emit		发射，发出  
glitchy		出问题  
compliance 	合规，承诺  

melee 		乱斗  

widespread	广泛，普遍  
plea 		恳求  
allege 		断言  
district	区，区域  
numerous 	众多，大量  
wounds 		伤口  
warrant 	保证  
coroner		验尸官  
bribery 	受贿  
scandal		丑闻  
accuracy 	准确性  

temporal 	颞骨  

Augmentation 	增强  
Integrated 		adj.集成  
combat 			adj/n.战斗，斗争 v.反对，抗，奋斗  
lethality 		杀伤力 
enhance			v.提高，增进  
detect			v.检测，侦查	  
engage 			从事	  
immersive 		身临其境  
demonstration	示范，游行，声明  

reflect			反映，体现，思考	 

asylum 			避难所  
seek			寻求，寻找  
judiciary 		司法	，法官的  
prohibited		被禁止  
approach		途径  
interruption 	中断  
squeeze 		挤，压榨，压缩  
endorphin 		内啡肽  
pituitary		脑下垂体，黏液的  
gland			腺  
epiphany		顿悟  
galaxy			星系  
looting 		抢劫，掠夺  
treasures 		珍品，珍视，珍重  
dangerous cult  危险的邪教  
encounters 		遭遇  
mechanism 		机制  
heap 			堆  

priority		优先  
--- 
pattern			模式  
slapy tree      伸展树  
amortized       摊销，摊还  
zig-zag         曲折  
traversal       遍历  
--- 
optimize        优化  
standalone      独立  
asset           财富  
enterprise      企业  
despite         尽管  
kit             套件  
task            负责，派给工作  
warehouse       仓库  
maintain        保持，维护  
texture         纹理  
stash           藏  
---
tutorial        教程  
perspectives    角度，透视，远景  
reel            卷轴  
overlay         覆盖，罩子 v.重新盖上  
sequential      顺序  
============================================
potential       adj.潜在的
sufficient      adj.足够，足以
manifest        v.表现，表明 n.舱单，货单
fiddle          v.拨弄，摆弄
anticipation    n.预期
accurate        adj.准确，精确
